id_szkoly,lat,lng,geolocalizer_count,location_type
14253,50.781102000000004,17.064313000000002,1,GEOMETRIC_CENTER
14254,50.8670579,17.0649572,1,GEOMETRIC_CENTER
14255,50.79040620000001,17.073071600000002,1,GEOMETRIC_CENTER
14256,50.8136739,17.2142137,1,GEOMETRIC_CENTER
14257,51.0298776,16.767737699999998,1,ROOFTOP
14258,51.221704100000004,16.4907038,1,GEOMETRIC_CENTER
14259,51.18988,16.7921532,1,GEOMETRIC_CENTER
14261,51.16248849999999,16.5941218,1,GEOMETRIC_CENTER
14262,51.19236790000001,16.605788099999998,7,GEOMETRIC_CENTER
14263,51.19236790000001,16.605788099999998,5,GEOMETRIC_CENTER
14264,51.163138399999994,16.606872199999998,1,ROOFTOP
14265,51.1705641,16.5992376,1,ROOFTOP
14266,51.1649178,16.590991,1,ROOFTOP
14268,50.8479727,16.469712599999998,1,ROOFTOP
14269,50.8498434,16.475679,1,APPROXIMATE
14273,50.83638389999999,16.4776952,1,ROOFTOP
14274,50.8512266,16.4972023,1,GEOMETRIC_CENTER
14276,50.87253459999999,16.3415798,1,ROOFTOP
14277,50.8603258,16.3161814,1,ROOFTOP
14280,50.9589015,16.227968,1,GEOMETRIC_CENTER
14281,50.91073520000001,16.4313584,1,RANGE_INTERPOLATED
14282,50.877986299999996,16.582937,1,GEOMETRIC_CENTER
14283,50.9934054,16.413990300000002,1,APPROXIMATE
14284,50.9551576,16.3424327,1,GEOMETRIC_CENTER
14285,51.015094500000004,16.2894899,1,GEOMETRIC_CENTER
14286,50.96890270000001,16.3485741,1,GEOMETRIC_CENTER
14287,50.9707722,16.355087599999994,1,GEOMETRIC_CENTER
14288,51.13398609999999,16.8841961,1,APPROXIMATE
14289,50.8448112,16.4960642,1,RANGE_INTERPOLATED
14290,50.84285029999999,16.4868246,1,APPROXIMATE
14292,50.94070670000001,16.4932445,1,RANGE_INTERPOLATED
14293,50.93601959999999,16.4866329,1,RANGE_INTERPOLATED
14294,51.30017789999999,16.922424300000007,1,RANGE_INTERPOLATED
14296,51.373425399999995,16.9559128,1,GEOMETRIC_CENTER
14297,51.30764979999999,17.0639833,1,RANGE_INTERPOLATED
14298,51.31365419999999,17.0589719,1,ROOFTOP
14299,51.30018140000001,17.060557,1,ROOFTOP
14301,51.3200075,17.0601797,1,ROOFTOP
14302,51.3049323,17.054142499999998,1,RANGE_INTERPOLATED
14303,51.25432110000001,17.0498201,1,GEOMETRIC_CENTER
14304,51.22571749999999,16.9844451,1,GEOMETRIC_CENTER
14305,51.312089,17.058161600000002,1,RANGE_INTERPOLATED
14306,51.2584423,17.0512155,1,GEOMETRIC_CENTER
14307,51.46751,16.902535,1,ROOFTOP
14308,51.472255,16.906620999999998,1,ROOFTOP
14309,51.463475,16.903748,1,ROOFTOP
14311,50.755072,16.2156666,1,RANGE_INTERPOLATED
14312,50.71683400000001,16.342205,1,ROOFTOP
14313,50.8006216,16.2505787,1,ROOFTOP
14314,50.80509650000001,16.2572235,1,ROOFTOP
14315,50.7665033,16.1316606,1,GEOMETRIC_CENTER
14316,50.681706,16.378631,1,ROOFTOP
14317,50.6651,16.184439,1,ROOFTOP
14319,50.832659299999996,16.036913300000002,1,GEOMETRIC_CENTER
14321,50.7044337,16.447547099999998,1,GEOMETRIC_CENTER
14325,50.7619307,16.240903699999997,1,ROOFTOP
14333,50.8262499,16.2801598,1,ROOFTOP
14342,51.2697735,16.7063544,1,GEOMETRIC_CENTER
14343,51.2691922,16.718964800000002,1,GEOMETRIC_CENTER
14344,51.26998589999999,16.6990731,1,APPROXIMATE
14345,51.4675588,16.6099966,1,GEOMETRIC_CENTER
14346,51.334241799999994,16.634912099999998,1,ROOFTOP
14347,51.3337245,16.6371587,1,RANGE_INTERPOLATED
14348,51.336901899999994,16.6357314,1,RANGE_INTERPOLATED
14349,51.3394203,16.641891,1,RANGE_INTERPOLATED
14350,51.3261435,16.6344545,1,ROOFTOP
14351,51.3329035,16.6575658,1,ROOFTOP
14352,51.32467310000001,16.6289553,1,ROOFTOP
14353,51.0464863,17.248561,1,GEOMETRIC_CENTER
14354,51.08530070000001,17.1799783,1,GEOMETRIC_CENTER
14355,51.0923308,17.291944,1,ROOFTOP
14356,51.1809554,17.1896888,1,GEOMETRIC_CENTER
14357,51.139461499999996,17.1762283,1,GEOMETRIC_CENTER
