id_szkoly,egz_norm_sr_hum,egz_norm_std_hum,ewd_min90_hum,ewd_max90_hum,egz_norm_sr_mp,egz_norm_std_mp,ewd_min90_mp,ewd_max90_mp,gwiazdki_pow
14067,90.89,13.3,-4.4,-2.35,94.05,12.86,-1.35,0.61,3.0
14068,97.04,14.68,-1.21,0.37,95.39,14.31,-2.81,-1.3,3.0
14069,95.51,13.28,-1.63,0.41,94.09,12.94,-2.93,-0.98,3.0
14071,90.39,14.39,-5.28,-3.71,91.88,13.84,-3.74,-2.24,3.0
14072,102.09,13.65,0.99,2.12,101.91,13.68,0.82,1.9,4.0
14073,98.32,13.8,-2.86,-1.86,100.32,13.79,-0.54,0.42,4.0
14074,95.38,13.82,-1.66,-0.2,95.84,13.6,-0.97,0.43,3.0
14075,97.24,13.42,-1.89,-0.83,98.44,13.46,-0.52,0.49,4.0
14076,81.33,9.25,-5.13,-1.06,84.29,8.43,-4.38,-0.47,1.0
14078,94.7,12.78,-3.73,-1.65,94.98,12.5,-3.29,-1.3,3.0
14079,90.67,13.17,-3.21,-0.25,89.63,13.05,-4.15,-1.3,2.0
14080,98.34,13.68,-0.65,1.36,96.89,13.8,-2.11,-0.18,4.0
14081,90.52,13.63,-6.09,-4.06,90.99,13.54,-5.4,-3.45,3.0
14082,93.8,14.04,-2.53,-0.08,93.91,13.4,-2.21,0.14,3.0
14083,93.28,14.09,-4.59,-2.5,93.63,13.83,-4.14,-2.13,3.0
14084,98.04,13.6,-2.19,-0.91,95.97,13.5,-3.91,-2.69,3.0
14085,93.6,13.96,-4.51,-3.24,95.81,13.89,-2.17,-0.95,3.0
14086,93.1,13.61,-3.19,-0.5,93.44,13.43,-2.63,-0.05,2.0
14087,93.92,14.03,-3.39,-0.3,95.96,13.79,-1.36,1.61,3.0
14088,93.19,14.42,-3.93,-1.09,94.01,14.32,-2.48,0.24,2.0
14089,99.18,13.13,0.33,2.58,98.29,12.91,-0.06,2.09,4.0
14090,95.71,12.93,-2.82,-0.23,99.47,12.67,1.13,3.62,4.0
14091,95.38,13.57,-3.04,-1.56,96.85,13.47,-1.12,0.3,3.0
14093,95.61,13.73,-2.43,-1.25,96.75,13.7,-1.31,-0.18,3.0
14096,96.66,14.26,-2.93,-1.65,99.38,14.35,-0.2,1.03,4.0
14097,96.49,14.24,-3.9,-2.52,97.24,14.61,-3.03,-1.71,3.0
14098,93.03,13.59,-3.08,-1.18,93.05,13.16,-2.9,-1.08,2.0
14099,96.42,13.58,-2.03,0.33,93.46,13.53,-4.82,-2.56,3.0
14100,94.68,13.84,-2.61,-0.5,93.34,13.4,-3.75,-1.72,2.0
14101,95.78,14.28,-1.85,0.13,98.57,14.0,1.14,3.04,4.0
14103,97.46,12.04,-4.14,-2.09,97.81,12.17,-3.64,-1.67,3.0
14105,93.77,13.17,-4.56,-3.08,93.14,12.97,-4.99,-3.57,3.0
14106,95.78,13.38,-6.15,-4.09,98.99,13.41,-2.85,-0.87,3.0
14107,101.01,13.74,-0.14,1.97,100.56,13.97,-0.6,1.42,4.0
14108,92.54,12.2,-5.54,-1.53,93.57,11.97,-4.2,-0.34,3.0
14109,80.27,8.76,-6.46,-0.87,82.02,8.77,-7.1,-1.72,1.0
14110,81.49,9.77,-5.98,-1.03,85.67,8.36,-4.05,0.81,1.0
14111,98.81,13.49,0.6,3.09,98.41,13.15,0.56,2.94,4.0
14112,99.13,13.5,2.15,4.4,96.06,13.09,-0.71,1.45,3.0
14113,98.39,13.31,-1.49,0.29,97.59,13.37,-2.1,-0.39,3.0
14114,97.45,13.06,1.8,3.94,96.94,12.68,1.73,3.78,3.0
14115,95.81,13.09,-1.43,0.55,92.92,12.98,-3.75,-1.85,3.0
14116,94.4,12.95,-2.33,-0.08,94.51,12.77,-1.89,0.27,3.0
14117,97.49,13.42,-0.64,0.88,93.53,13.29,-3.95,-2.5,2.0
14119,103.01,12.88,0.28,1.71,101.96,13.06,-0.87,0.51,4.0
14120,104.53,12.97,2.56,4.52,101.68,13.15,-0.06,1.81,4.0
14122,101.11,13.11,2.17,4.23,97.13,12.72,-1.64,0.33,3.0
14123,96.93,13.84,-1.84,0.42,96.57,13.37,-2.42,-0.25,2.0
14124,96.82,13.54,-0.7,0.91,95.94,13.28,-0.97,0.57,2.0
14125,100.76,12.86,-2.64,-0.39,100.73,13.0,-2.54,-0.39,3.0
14126,102.57,13.62,1.72,3.7,100.34,13.44,-0.2,1.69,4.0
14127,96.49,13.23,-1.1,1.11,99.03,13.29,1.84,3.96,3.0
14128,100.57,14.05,-0.77,1.29,101.22,14.0,-0.07,1.91,3.0
14129,98.34,13.51,-1.51,-0.27,97.4,13.85,-2.04,-0.85,3.0
14130,107.82,12.53,1.67,4.81,110.73,13.49,4.45,7.47,5.0
14132,104.7,13.28,-1.68,1.33,104.81,14.14,-1.78,1.11,4.0
14133,80.52,9.52,-7.71,-3.51,81.67,8.55,-6.94,-2.91,1.0
14134,108.65,13.1,2.88,5.97,105.49,13.82,-0.4,2.56,5.0
14136,96.86,13.6,-3.72,-2.06,97.99,13.78,-2.35,-0.76,3.0
14139,94.34,12.49,-3.67,0.09,96.76,12.25,-0.94,2.67,3.0
14140,98.13,13.54,-1.76,-0.21,98.21,13.67,-1.6,-0.12,3.0
14141,101.01,14.35,0.42,1.88,102.08,14.25,1.34,2.73,4.0
14142,96.91,13.25,-2.69,-0.57,97.29,13.48,-1.75,0.29,3.0
14145,101.26,12.12,-2.91,0.36,104.46,12.32,0.14,3.27,4.0
14146,101.88,13.95,-1.19,0.54,100.18,14.11,-2.95,-1.29,4.0
14148,96.38,13.75,-1.41,0.25,97.32,13.67,-0.52,1.07,3.0
14150,98.61,13.15,-2.0,-0.71,99.17,13.19,-1.44,-0.2,3.0
14151,91.49,10.42,-6.97,-1.03,92.34,10.87,-3.49,2.22,
14152,97.43,13.71,-2.54,-1.42,97.27,13.84,-2.49,-1.42,3.0
14153,93.53,13.35,-3.74,-1.19,93.3,13.05,-3.49,-1.05,2.0
